asin,helpful,overall,reviewText,reviewTime,reviewerID,reviewerName,summary,unixReviewTime,title
120401325X,"[0, 0]",4,They look good and stick good! I just don't like the rounded shape because I was always bumping it and Siri kept popping up and it was irritating. I just won't buy a product like this again,"05 21, 2014",A30TL5EWN6DFXT,christina,Looks Good,1400630400,BY champper Leopard Home Button Sticker for Iphone 4g/4s Ipad2 Ipod (At&t Only) Jc064an + Free Screen Protector
120401325X,"[0, 0]",5,These stickers work like the review says they do. They stick on great and they stay on the phone. They are super stylish and I can share them with my sister. :),"01 14, 2014",ASY55RVNIL0UD,emily l.,Really great product.,1389657600,BY champper Leopard Home Button Sticker for Iphone 4g/4s Ipad2 Ipod (At&t Only) Jc064an + Free Screen Protector
120401325X,"[0, 0]",5,These are awesome and make my phone look so stylish! I have only used one so far and have had it on for almost a year! CAN YOU BELIEVE THAT! ONE YEAR!! Great quality!,"06 26, 2014",A2TMXE2AFO7ONB,Erica,LOVE LOVE LOVE,1403740800,BY champper Leopard Home Button Sticker for Iphone 4g/4s Ipad2 Ipod (At&t Only) Jc064an + Free Screen Protector
120401325X,"[4, 4]",4,"Item arrived in great time and was in perfect condition. However, I ordered these buttons because they were a great deal and included a FREE screen protector. I never received one. Though its not a big deal, it would've been nice to get it since they claim it comes with one.","10 21, 2013",AWJ0WZQYMYFQ4,JM,Cute!,1382313600,BY champper Leopard Home Button Sticker for Iphone 4g/4s Ipad2 Ipod (At&t Only) Jc064an + Free Screen Protector
120401325X,"[2, 3]",5,"awesome! stays on, and looks great. can be used on multiple apple products.  especially having nails, it helps to have an elevated key.","02 3, 2013",ATX7CZYFXI1KW,patrice m rogoza,leopard home button sticker for iphone 4s,1359849600,BY champper Leopard Home Button Sticker for Iphone 4g/4s Ipad2 Ipod (At&t Only) Jc064an + Free Screen Protector
120401325X,"[1, 2]",3,These make using the home button easy. My daughter and I both like them.  I would purchase them again. Well worth the price.,"10 12, 2013",APX47D16JOP7H,RLH,Cute,1381536000,BY champper Leopard Home Button Sticker for Iphone 4g/4s Ipad2 Ipod (At&t Only) Jc064an + Free Screen Protector
120401325X,"[0, 0]",5,Came just as described.. It doesn't come unstuck and its cute! People ask where I got them from & it's great when driving.,"08 22, 2013",A1JVVYYO7G56DS,Tyler Evans,best thing ever..,1377129600,BY champper Leopard Home Button Sticker for Iphone 4g/4s Ipad2 Ipod (At&t Only) Jc064an + Free Screen Protector
6073894996,"[0, 0]",5,"Surprisingly, this inexpensive version works just as well and just as reliably as the expensive variety. It has been working for me for months now. No problem. Excellent value.","05 11, 2013",A1ZTTNS6SWFV52,Alexander Graham Bell Very-Junior,Top Quality. Works like the Expensive Version,1368230400,"SANOXY High Output Dual USB Port Car Charger for Ipad, Samsung Galaxy, Iphone, Blackberry, Droid, Gps, and Other Tablets, Smart Phones and High Powered Devices"
6073894996,"[2, 3]",5,"I have tested this against the griffin dual output unit.I checked the charging current.This unit was charging my galaxy note battery with 70 ma.Griffin was charging with 40 ma! And the griffin was 4 times more expensive.I have not used these for very long. I bought 15 of them, because they are so cheap and because they actually do seem to provide high current.No idea how long they last. I assume they will work fine. I have not been using them much. I did the testing , just to stock up on a high current charger. This passed and I stocked up.","09 19, 2012",A38EHCCO532RYI,amazonfan1,High power as promised!,1348012800,"SANOXY High Output Dual USB Port Car Charger for Ipad, Samsung Galaxy, Iphone, Blackberry, Droid, Gps, and Other Tablets, Smart Phones and High Powered Devices"
6073894996,"[0, 0]",1,It worked great for the first couple of weeks then it just stopped completely.. so basically a small waste of money.,"05 29, 2013",A2INSXDTE08WSJ,Barbie,Horrible,1369785600,"SANOXY High Output Dual USB Port Car Charger for Ipad, Samsung Galaxy, Iphone, Blackberry, Droid, Gps, and Other Tablets, Smart Phones and High Powered Devices"
6073894996,"[0, 0]",5,I love that it has two ports for my phone and ipod. Who wants to be putting too many things in one socket.  Sleek and convenient to store and I just love it.,"06 6, 2014",A9NETBZNEW2TP,"Bernadette Mitchell ""Lady Di""",USB Port,1402012800,"SANOXY High Output Dual USB Port Car Charger for Ipad, Samsung Galaxy, Iphone, Blackberry, Droid, Gps, and Other Tablets, Smart Phones and High Powered Devices"
