asin,battery,button,cable,call,car,case,charge,charger,color,cover,day,design,device,fit,get,hand,headset,iPhone,issue,life,look,lot,mount,order,phone,place,plug,pocket,power,price,problem,product,protection,protector,purchase,quality,review,screen,side,size,something,sound,thing,time,unit,use,volume,way,work
6073894996,2,0,0,0,11,0,20,10,0,0,0,6,2,0,0,1,0,2,0,0,3,0,0,1,11,0,2,0,7,4,1,7,0,0,0,0,1,0,-1,0,1,0,2,5,1,5,0,2,16
8288862993,0,0,0,0,12,0,7,19,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,14,1,2,0,0,3,0,4,0,0,0,2,0,0,1,0,0,0,5,2,1,2,0,0,17
B0000ALPBP,0,3,0,0,1,0,1,0,1,2,0,2,1,3,2,5,17,0,2,1,1,2,0,4,26,1,2,1,0,7,4,7,0,0,1,7,1,0,1,2,1,8,4,4,2,6,1,2,12
B0000E3GWH,7,2,2,2,2,0,2,1,3,0,3,0,0,0,0,1,0,0,0,3,1,1,0,0,26,0,0,0,0,2,1,0,0,0,2,0,0,0,2,1,1,1,3,2,0,5,0,1,2
B0001YX9ZI,0,0,3,0,2,4,0,0,0,0,0,1,1,1,1,0,6,0,0,0,0,1,0,0,3,3,4,1,0,0,2,0,0,0,0,4,0,0,0,1,2,2,2,0,1,5,1,4,5
B0002SYC5O,11,19,3,7,0,1,5,0,1,1,2,10,9,4,5,0,23,3,1,8,4,8,0,1,21,4,2,1,13,3,4,4,0,0,2,15,8,0,3,4,1,15,10,16,5,10,8,8,9
B0003RA29O,4,5,1,0,0,1,3,1,1,0,3,3,2,0,0,1,4,0,0,1,1,2,0,0,20,0,0,0,0,1,0,0,0,0,2,2,0,2,1,1,0,3,0,4,2,4,0,2,1
B0006B3QY0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,5
B0006FLA80,1,1,3,6,0,2,4,0,0,1,2,1,2,1,3,-1,2,0,1,-1,2,2,0,0,24,2,1,0,3,-1,-1,2,0,1,0,0,0,1,0,-1,1,1,1,2,0,1,1,0,11
B0007UC5U6,4,9,1,8,2,1,9,4,0,0,4,6,2,2,0,2,23,0,1,4,1,1,0,1,18,0,0,2,3,2,5,5,0,0,0,10,1,0,3,0,1,4,3,7,6,8,3,3,10
B0009W8DKI,0,2,0,3,0,0,1,0,0,0,0,1,1,0,1,3,7,0,0,0,0,1,0,0,7,0,1,0,0,-1,1,1,0,0,1,9,1,0,0,3,1,2,2,2,0,4,2,1,5
B000A1329U,6,1,2,4,1,3,4,0,3,2,3,1,0,0,5,0,1,0,2,7,6,7,0,10,100,1,0,2,0,4,6,1,0,0,1,2,4,4,0,4,3,3,0,8,1,11,8,8,10
B000AZ1LIK,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,1
