asin,phone,case,work,use,time,headset,charge,quality,product,cable,price,battery,sound,charger,button,device,screen,iPhone,car,look,way,call,thing,problem,fit,get,volume,music,power,ear,unit,noise,camera,plug,day,design,cell,lot,something,cord,size,order,review,side,piece,voice,pair,cover,protection,protector
120401325X,2,0,0,2,1,0,0,1,1,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
6073894996,11,0,16,5,5,0,20,0,5,0,4,2,0,10,0,2,0,2,11,3,2,0,0,1,0,0,0,0,7,0,1,0,0,2,0,6,0,0,1,2,0,1,1,-1,2,0,0,0,0,0
7887421268,10,19,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0
8288853439,6,0,3,0,2,0,5,1,1,1,6,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0
8288862993,14,0,17,2,2,0,7,2,4,0,3,0,0,19,0,0,0,0,12,0,0,0,5,0,0,0,0,0,0,0,1,0,0,2,1,0,1,1,0,3,0,1,0,1,0,0,0,0,0,0
8288878881,10,0,14,3,2,0,1,0,4,2,3,-1,0,7,0,0,0,0,1,0,0,0,0,-1,1,-1,0,0,0,0,1,0,0,2,0,0,-1,0,0,5,0,1,0,1,0,0,1,0,0,0
9658231942,5,3,1,0,0,0,1,0,0,0,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9861203192,2,10,3,0,0,0,0,4,2,0,2,0,0,0,-1,0,-1,0,0,3,0,0,0,0,4,-1,0,0,-1,0,0,0,1,0,1,1,0,0,0,0,1,4,1,0,-1,0,0,3,1,1
9985039998,6,0,8,1,0,0,3,0,2,12,1,1,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0
9985537742,7,0,10,1,2,0,5,2,1,5,2,0,0,-1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
B00001W0EQ,4,0,3,0,1,4,0,3,-1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,-3,1,2,2,0,0,-1,0,0,0,3,-1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
B00001W0ET,4,1,1,1,1,5,0,2,1,0,0,0,2,0,1,0,0,0,0,0,0,2,1,2,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
B000056PYW,3,0,0,3,1,0,1,3,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,1,0,0,1,0,0,-1,-2,0,0,0,0,1,0,0,0,0
B00009WCAP,13,0,9,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,1,0,0
