,asin,helpful,overall,reviewText,reviewTime,reviewerID,reviewerName,summary,unixReviewTime,title
781,B0011GI94Q,"[1, 2]",4,"I have tested this device pretty extensively for work and home. Some observations:1) If the signal is fairly strong without the booster, the booster *seems* to actually slow down data transfer speeds. I don't know if it's because you're inserting one more ""relay"" between the cell tower and the wireless device, but I have tested ths scenario in various places and the results appear to be fairly consistent.2) If you are in a place with no signal or a very, very weak signal, the device will almost never help.3) The scenarios where the device works best are the ones where you have one and maybe two bars and have dropped or very poor quality calls. There is no doubt that in at least some scenarios like these, the device will improve the signal to the point where you may be able to make and keep a call.This device is not a silver bullet, but it can help in certain scenarios.","10 13, 2011",A2EMM9HWOSY2Q5,Jemmie Wang,Works in certain situations,1318464000,weBoost 3G Wireless Cellular Phone Signal Booster Kit for Vehicle - Smart Technology Amplifier Kit
1076,B001BNE5YW,"[0, 0]",4,"I have used numerous screen protective films since 2003 dating back to my old Palm Tungsten C days.  One of my biggest gripes was the film coming off of the screen, and another gripe was oil and fingerprints accumulating over time.  This protector actually appears to keep those fingerprints off, giving me a clear view when watching videos.  The semigloss finish decreases the excessive glare of the native screen.Application is somewhat awkward since you apply a nonstick spray to the adhesive side and your fingers to minimize fingerprints.  There is a rubber squegy that decreases the 'bubbles' and uneven application of the cover.The tactile feel still allows good sensitivity of the touch screen.A lifetime warranty is somewhat of an oxymoron, given that the phone will likely be replaced in 2-3 years by its user.This is one of the best screen protectors that I have had the chance to use.","06 21, 2009",AGGAQLXPVGM5D,Eagle Vision,Great protection,1245542400,invisibleSHIELD for the Apple iPhone 3G (Back)
1102,B001C1MD9M,"[0, 2]",1,"Doesn't work with an Otterbox Defender case! Never tried it without, so 1 star is all I know to give.","12 16, 2009",AMYZ7UL1UPEWF,Phil Geusz,Beware! Doesn't Work with Otterbox,1260921600,iPhone 3G Stylus
1437,B001KD6ZRS,"[1, 1]",4,"I think that this case is pretty cool.It is almost invidible.But the only bad part is it doesn't protect the silver or buttons.Other than that if your on a budget andwant to protect the back of your phone, get this.","03 1, 2011",A3M6L13YZ8IUYJ,Nash,Can't even tell it's on,1298937600,elago S3 Case for iPhone 3G/3GS (High Glossy) - Black + Universal Dock Adapter included
1160,B001DTT742,"[0, 0]",5,Wilson Electronics - Sleek - Cell Phone Signal Booster for Single UserI use it in the house with the wilsonsleek signal booster..the product doesn't slip or fall holding the signal booster.,"06 12, 2013",A12XH53PZSARTV,old man in Texas,works great,1370995200,Wilson Gooseneck Suction Cup Mount for Wilson Cradle Plus
1012,B0018PS4O0,"[0, 0]",5,"Huge improvement over the stock Wilson antenna.  On Verizon, my LG G2 signal went from -92 to -82dBm on 1x, and from -102 to -85dBm on LTE.","07 3, 2014",A3IYUDIMNC85RT,Geoffrey W. Johnson,Huge upgrade,1404345600,Wilson Electronics 12-inch Dual Band Magnet-Mount Antenna w/ SMA Male Connector
411,B000BHAUSE,"[7, 10]",2,"This would be great product if it lived up to its specs.Pros:1.comfortable2.ease of use3.fantastic sound quality on both ends.Cons:1. Battery doesn't hold a charge2. 12V adapter seems to ""cook"" the battery.3. has a habit of dropping connection(I think this common to all BT devices)I'm currently on my second ""Road Warrior"" headset. The first one became extremely hot when charged with the 12V adapter plug & wouldn't hold a charge for over a few hours., I suspect that the truck voltage(14.1V) is too much for this little battery. I haven't tried the auxiliary truck plug on this one as I don't want to fry the battery. The AC power brick has a rated output of 9V so I suspect the 5V difference is what does in the battery. This one I have only used the AC adapter & the battery life is at best abysmal. The info supplied claims a standby life of up to 100 hours & talk time of up to 6 hours. Not even close. Yesterday my unit ran 6 hours standby & 1 hour talk before it had to be recharged. If this unit lived up to it hype I would give it 5 stars, but with its poor battery life I only give it 2. If you can live with the battery issues its a great unit.","03 21, 2007",A3N7T0DY83Y4IG,C. A. Freeman,flawed,1174435200,VXI CORPORATION B150 Bluetooth Headset and Charger for Cell Phones and PC
534,B000KBFX6K,"[0, 0]",5,"In truth, I am glad I bought this case in the event that I need to store or travel with my scanner.  However, I don't see myself taking my scanner anywhere.  Since I bought my scanner, it has been next to my computer and I don't really see the need to take it anywhere.One thing I am curious about is that the case has 2 sides with elastic and only one scanner fits inside, so I can't figure out why 2.  Anyway, it is just an observation because it doesn't affect the fact that the slim scanner fits great in it and protects it well.","01 24, 2010",AEGZO7OR1U46R,Vivian C. Marxuach,Glad I have it,1264291200,The Neat Company 00009 Travel Case for NeatCo Mobile Scanners Black
972,B00174N3R0,"[0, 0]",5,This stilus pen for any iPhone 3-4 is just great for accurately typing without making mistake while using your fingers. Very useful,"06 21, 2014",A3IX0971A2RL1Q,scastellon,Just great,1403308800,Ten One Design Pogo Stylus for iPhone 3G/3GS - Silver
642,B000PCCLPU,"[2, 2]",5,"I like these headphones.  I bought a cheaper model from Sony earlier, but really wanted to experience the best bluetooth headphones Sony makes.  So far, I really don't have any complaints.  The sound quality is very nice; much better than open-ear styles, pairs easily with my PC, G1, PS3, and my Vtech home phone.  Using it for phone calls is average, but very acceptable.  Blocks out a lot of noise naturally and can even use them while mowing the grass without cranking the volume all the way up to hear it over the mower.  Range varies depending on whether you're using it to talk on the phone or listening to music; I get a good 20 feet for music (little or no obstructions) and about 30 feet using for phone (couple of rooms away) for telephone.For me, I've found the perfect pair of wireless headphones.  Make sure to read some of the more detailed reviews here - lots of helpful info you'll want to know before you make the investment.  These should easily satisfy 85% of buyers.","01 11, 2010",A2YPFPIWA1F8FM,E. Austin,Impressed,1263168000,Sony DRBT50 Stereo Bluetooth Headset (Discontinued by Manufacturer)
